app_category,frequency
2fc4f2aa,234
cef3e649,1731545
ef03ae90,2
5326cf99,133
0f2161f8,9561058
86c1a5a3,3
07d7df22,26165592
4681bb9d,6291
79f0b860,605
a3c42688,11121
bd41f328,6
dc97ec06,54644
8df2e842,1679
f95efa07,1141673
0bfbc358,425
0d82db25,25
4b7ade46,16
6fea3693,2
7113d72a,304
fc6fa53d,23663
4ce2e9fc,20762
cba0e20d,1
d1327cf5,123233
71af18ce,5
8ded1f7a,1467257
a86a3e89,2497
2281a340,2243
52de74cf,1
0f9a328c,5584
75d80bbe,40108
879c24eb,12785
09481d60,54886
a7fd01ec,362
f395a87f,1
18b1e0be,212
bf8ac856,9
