feature,coefficient,abs_coefficient,direction
site_id_hist_clicks,1.52953,1.52953,positive
site_id_hist_impressions,-1.4212502,1.4212502,negative
app_id_hist_impressions,-1.0263312,1.0263312,negative
app_id_hist_clicks,0.95487165,0.95487165,positive
app_category_exposure_percentile,-0.5948601,0.5948601,negative
device_model_hist_impressions,-0.42965174,0.42965174,negative
app_category_hist_impressions,-0.40558633,0.40558633,negative
device_model_hist_clicks,0.39204454,0.39204454,positive
app_id_te,0.3164796,0.3164796,positive
app_category_hist_clicks,-0.29195914,0.29195914,negative
site_category_hist_impressions,-0.2809385,0.2809385,negative
is_weekend,0.27679184,0.27679184,positive
site_category_hist_ctr,-0.2742393,0.2742393,negative
app_category_freq,0.26421422,0.26421422,positive
site_id_te,0.23778704,0.23778704,positive
site_category_exposure_percentile,-0.22625574,0.22625574,negative
site_category_hist_clicks,-0.20310222,0.20310222,negative
app_category_hist_ctr,-0.19340508,0.19340508,negative
site_category_te,0.16012128,0.16012128,positive
device_model_te,0.15984474,0.15984474,positive
site_category_freq,0.15613957,0.15613957,positive
app_id_exposure_percentile,0.132171,0.132171,positive
site_id_hist_ctr,0.103580885,0.103580885,positive
device_model_exposure_percentile,0.0757566,0.0757566,positive
device_model_hist_ctr,-0.06898028,0.06898028,negative
site_id_exposure_percentile,-0.059497375,0.059497375,negative
app_category_te,0.037002858,0.037002858,positive
app_id_hist_ctr,0.0356114,0.0356114,positive
app_id_freq,0.032710426,0.032710426,positive
device_model_freq,-0.03057026,0.03057026,negative
site_id_freq,-0.030274844,0.030274844,negative
hour_cos,0.017061036,0.017061036,positive
hour_sin,-0.014080055,0.014080055,negative
