feature,mean_abs_shap,mean_signed_shap,median_abs_shap,std_shap,positive_shap_ratio,negative_shap_ratio,importance_percent,importance_rank
site_id_te,0.38289856910705566,-0.10762394964694977,0.22984613478183746,0.5283472537994385,0.3817,0.6183,0.25538883119026823,1
app_id_te,0.2818731665611267,-0.029999414458870888,0.14300982654094696,0.42924731969833374,0.79645,0.20355,0.1880060787895471,2
site_id_hist_ctr,0.13661640882492065,0.008445791900157928,0.0957992672920227,0.1902417093515396,0.3787,0.6213,0.09112153396805527,3
device_model_te,0.12260528653860092,0.0076806312426924706,0.09214629232883453,0.16490964591503143,0.5778,0.4222,0.08177628059530982,4
site_id_freq,0.062484242022037506,-0.00357320299372077,0.04699691757559776,0.0814400315284729,0.6376,0.3624,0.04167625273458862,5
app_id_hist_ctr,0.05616730451583862,0.01860489323735237,0.03002653457224369,0.08977136015892029,0.8995,0.1005,0.03746292989514223,6
app_id_freq,0.04065750539302826,-0.003000871278345585,0.023331418633461,0.059134840965270996,0.736,0.264,0.027118076741974896,7
app_id_exposure_percentile,0.03912225738167763,-0.013276185840368271,0.028500273823738098,0.04419798403978348,0.3392,0.6608,0.0260940844190984,8
app_category_freq,0.037335868924856186,0.0065093268640339375,0.031105633825063705,0.04675588011741638,0.67205,0.32795,0.024902584380058403,9
hour_cos,0.032553430646657944,0.0016962869558483362,0.03066778928041458,0.03863487392663956,0.55175,0.44825,0.02171275443382228,10
device_model_freq,0.0308487918227911,0.005181302782148123,0.018404774367809296,0.045799992978572845,0.605,0.395,0.020575780436128423,11
device_model_hist_ctr,0.024134131148457527,0.0035008785780519247,0.016159052029252052,0.0343099907040596,0.4146,0.5854,0.016097180932723516,12
site_category_hist_impressions,0.02408563904464245,-0.022702092304825783,0.022947026416659355,0.014708139933645725,0.06245,0.93755,0.01606483727120456,13
site_id_exposure_percentile,0.02319607511162758,0.016976092010736465,0.01992856338620186,0.023161116987466812,0.7551,0.2449,0.015471508615912129,14
site_id_hist_impressions,0.02281137928366661,-0.0003514390264172107,0.01570933312177658,0.03309859707951546,0.4594,0.5406,0.015214921034256125,15
hour_sin,0.019877418875694275,0.004127939231693745,0.011420607566833496,0.03280821442604065,0.63875,0.36125,0.013258004033761723,16
app_category_te,0.017924131825566292,0.012592465616762638,0.004779900889843702,0.03149337321519852,0.42345,0.57655,0.01195518460073376,17
site_category_freq,0.01664120703935623,0.0013912527356296778,0.00842779316008091,0.04476306587457657,0.64935,0.35065,0.011099488894115425,18
device_model_exposure_percentile,0.016011573374271393,0.0013897207099944353,0.010793158784508705,0.0248489361256361,0.6575,0.3425,0.010679530662934093,19
app_id_hist_clicks,0.015742309391498566,-0.009206890128552914,0.010448260232806206,0.02547581121325493,0.2626,0.7374,0.010499934761068077,20
app_category_hist_ctr,0.015349345281720161,0.013935301452875137,0.005254375282675028,0.04816500097513199,0.87585,0.12415,0.010237832332923533,21
site_id_hist_clicks,0.011277386918663979,-0.0005910181789658964,0.006579208187758923,0.02584882825613022,0.47915,0.52085,0.007521884113473282,22
app_id_hist_impressions,0.010399172082543373,-0.006289589684456587,0.009063251316547394,0.011101998388767242,0.1874,0.8126,0.006936125172002583,23
device_model_hist_clicks,0.008909240365028381,0.0016127962153404951,0.007117847912013531,0.012215406633913517,0.56145,0.43855,0.0059423582828318005,24
site_category_te,0.007654197514057159,0.0038485771510750055,0.005917055066674948,0.009883691556751728,0.7199,0.2801,0.0051052594982875675,25
app_category_hist_clicks,0.006823704577982426,0.0034142425283789635,0.005190474446862936,0.017800040543079376,0.80865,0.19135,0.004551330501502523,26
site_category_hist_clicks,0.006649427115917206,-0.0024443762376904488,0.00531283114105463,0.009277877397835255,0.3795,0.6205,0.004435089489049957,27
site_category_hist_ctr,0.006312326993793249,0.0012391501804813743,0.003968123346567154,0.010120704770088196,0.55805,0.44195,0.004210247682030137,28
device_model_hist_impressions,0.006157195195555687,-0.0024937400594353676,0.0036261705681681633,0.01036869827657938,0.3267,0.6733,0.004106776601621742,29
app_category_exposure_percentile,0.0060577536933124065,-0.0008160182042047381,0.0026684433687478304,0.012678109109401703,0.87205,0.12795,0.004040450292048579,30
site_category_exposure_percentile,0.005277104675769806,0.000827962183393538,0.003168320283293724,0.010137106291949749,0.40575,0.59425,0.0035197666012607614,31
app_category_hist_impressions,0.0046476321294903755,0.0041607581079006195,0.004431743174791336,0.004410537891089916,0.8036,0.1964,0.003099915834423034,32
is_weekend,0.00017573079094290733,0.00012242850789334625,0.00011433891631895676,0.00028134509921073914,0.9456,0.0544,0.00011721036567912177,33
